id,Relaxation,safety,Familiarity,Crowding,Stayability,Stress Perception
0,2,2,2,3,2,3.8
1,3,4,4,3,4,2.4
2,3,4,4,3,4,2.4
3,3,4,4,3,4,2.4
4,2,2,2,5,2,4.2
5,4,4,4,3,4,2.2
6,4,4,4,4,4,2.4
7,4,4,4,3,4,2.2
8,3,3,3,3,3,3
9,2,2,3,4,3,3.6
10,2,1,2,2,1,4
11,2,1,1,5,1,4.8
12,2,1,3,3,3,3.6
13,2,1,1,3,1,4.4
14,2,1,3,4,3,3.8
15,2,2,3,3,3,3.4
16,3,3,2,4,4,3.2
17,3,2,2,3,3,3.4
18,3,2,3,3,3,3.2
19,2,3,3,3,2,3.4
20,1,2,1,5,1,4.8
21,4,1,3,3,3,3.2
22,4,3,3,3,4,2.6
23,3,2,2,2,3,3.2
24,1,1,1,5,1,5
25,4,3,3,3,4,2.6
26,1,1,1,4,1,4.8
27,1,1,1,5,1,5
28,1,1,1,5,1,5
29,1,1,1,5,1,5
30,2,2,3,3,2,3.6
31,2,2,2,4,2,4
32,2,3,2,5,2,4
33,2,3,2,4,2,3.8
34,2,2,2,5,2,4.2
35,3,3,3,3,3,3
36,4,3,3,4,4,2.8
37,4,4,4,3,4,2.2
38,3,3,3,3,3,3
39,2,2,2,4,2,4
40,2,2,1,4,2,4.2
41,2,2,1,4,2,4.2
42,2,2,2,3,3,3.6
43,2,2,1,4,1,4.4
44,2,2,2,5,1,4.4
45,3,2,1,3,2,3.8
48,2,2,2,4,2,4
49,2,2,3,3,2,3.6
50,2,2,3,4,2,3.8
51,4,4,4,4,4,2.4
52,4,4,4,3,4,2.2
53,3,3,3,3,3,3
54,3,3,3,3,4,2.8
55,1,1,1,5,1,5
56,2,3,2,5,1,4.2
57,2,2,2,5,2,4.2
58,2,2,3,4,2,3.8
59,1,1,1,5,1,5
60,1,1,1,5,2,4.8
61,1,1,1,5,1,5
62,1,1,1,5,1,5
63,1,1,1,5,1,5
64,1,1,2,5,1,4.8
65,1,1,1,5,1,5
66,1,1,1,5,1,5
67,1,1,1,5,1,5
68,1,1,1,5,1,5
69,1,1,1,5,1,5
70,1,1,1,5,1,5
71,1,1,1,5,1,5
72,1,1,1,5,1,5
73,1,1,1,5,1,5
74,4,1,2,2,2,3.4
75,1,1,1,5,1,5
76,1,1,1,5,1,5
77,2,2,2,4,2,4
78,4,2,2,3,4,3
79,2,2,1,4,2,4.2
80,2,2,1,4,2,4.2
81,3,2,1,3,2,3.8
82,3,2,2,3,3,3.4
83,1,1,1,5,1,5
84,3,1,2,2,2,3.6
85,2,1,2,2,1,4
86,2,1,2,2,1,4
87,2,1,2,2,1,4
88,2,1,2,2,1,4
89,2,1,2,2,2,3.8
90,2,1,2,2,2,3.8
91,2,1,2,3,1,4.2
92,2,1,2,2,2,3.8
93,2,1,2,2,2,3.8
94,3,1,2,2,2,3.6
95,2,1,2,2,2,3.8
96,2,1,2,2,2,3.8
97,2,1,2,2,2,3.8
98,3,1,2,2,2,3.6
99,3,1,2,2,3,3.4
100,3,1,2,2,2,3.6
101,3,1,2,2,2,3.6
102,3,1,2,2,2,3.6
103,2,1,2,2,2,3.8
104,2,1,2,2,2,3.8
105,2,1,2,2,2,3.8
106,2,1,2,2,2,3.8
107,3,1,1,3,1,4.2
108,4,1,2,3,3,3.4
109,3,1,1,3,2,4
110,4,1,2,3,2,3.6
111,2,3,2,4,3,3.6
112,4,2,3,3,4,2.8
113,2,1,2,2,2,3.8
114,3,1,2,3,1,4
115,3,1,1,3,2,4
116,3,1,2,5,2,4.2
117,3,3,2,4,2,3.6
118,3,2,2,3,2,3.6
119,2,3,2,4,2,3.8
120,2,2,2,2,2,3.6
121,2,1,2,4,2,4.2
122,2,1,2,3,2,4
123,2,2,2,3,2,3.8
124,2,2,2,4,2,4
125,2,2,3,4,2,3.8
126,2,2,3,4,2,3.8
127,4,1,2,3,3,3.4
128,4,2,3,3,4,2.8
129,4,1,2,3,4,3.2
130,3,2,1,4,3,3.8
131,4,3,2,4,4,3
132,4,1,2,3,1,3.8
133,4,1,2,3,2,3.6
134,4,1,2,3,1,3.8
135,4,1,2,3,1,3.8
136,4,1,2,4,2,3.8
137,4,1,2,3,4,3.2
138,5,1,2,2,2,3.2
139,4,1,2,3,4,3.2
140,2,1,1,3,2,4.2
141,3,2,1,4,2,4
142,2,2,2,4,2,4
143,3,2,2,2,2,3.4
144,5,1,2,3,4,3
145,4,1,2,3,4,3.2
146,4,3,2,4,3,3.2
147,2,1,2,2,1,4
148,2,1,1,4,1,4.6
149,3,1,1,3,2,4
150,3,1,1,3,2,4
151,3,1,1,3,2,4
152,4,1,2,3,2,3.6
153,2,1,1,3,1,4.4
154,2,1,1,3,1,4.4
155,2,1,2,2,2,3.8
156,2,1,2,2,2,3.8
157,4,2,3,3,4,2.8
158,2,1,1,3,2,4.2
159,2,1,2,3,1,4.2
160,2,1,2,2,1,4
161,2,2,2,4,1,4.2
162,2,2,1,4,2,4.2
163,2,1,1,4,1,4.6
164,2,1,1,4,1,4.6
165,2,2,2,4,2,4
166,2,1,1,3,2,4.2
167,2,2,2,4,3,3.8
168,2,2,2,4,2,4
